CODE|NAME|CAUSE|ACTION
01033|ORACLE initialization or shutdown in progress|The database is initializing or shutting down.|Wait for the database to complete initialization or shutdown.
01034|ORACLE not available|The database instance is not available or not started.|Start the database instance and verify it is running.
01041|internal error - hostdef extension missing|Required host definition extension is missing.|Reinstall Oracle client software.
01043|user side memory corruption|Memory corruption detected on the user side.|Restart the application and check system memory.
01051|ORACLE procedure tables corrupted|Oracle procedure tables are corrupted.|Restore from backup or contact Oracle Support.
01075|you are not connected to ORACLE|No active connection to the database exists.|Establish a connection to the database.
01109|database not open|The database is not open or mounted properly.|Open the database using ALTER DATABASE OPEN.
01110|data file not open|A data file is offline or cannot be opened.|Bring the data file online or recover it.
01401|inserted value too large for column|The value being inserted exceeds the column size.|Increase the column size or reduce the value length.
01403|no data found|A SELECT INTO statement returned no rows.|Check the query conditions or use exception handling.
01405|The fetched column returned a NULL value|A fetched column value is NULL.|Handle NULL values using NVL or check the source data.
01406|fetched column value was truncated|A column value was truncated during fetch.|Increase the buffer size or use a larger data type.
01407|cannot update (string) to NULL|An attempt was made to set a NOT NULL column to NULL.|Provide a non-NULL value or remove the NOT NULL constraint.
01422|exact fetch returns more than requested rows|A SELECT INTO returned more than one row.|Use a cursor or BULK COLLECT for multiple rows.
01438|value larger than specified precision|A numeric value exceeds the column precision.|Increase the column precision or reduce the value.
01445|cannot select ROWID from view|ROWID cannot be selected from a view without a base table.|Select from the base table or use a different identifier.
01489|result of string concatenation is too long|String concatenation result exceeds the maximum length.|Use CLOB or split the concatenation.
01552|non-system tablespace contains data from multiple databases|A tablespace has data from multiple databases.|Restore the datafile from the correct database backup.
01553|unable to create INITIAL extent for cluster|Cannot create initial extent for a cluster.|Increase tablespace size or remove fragmentation.
01554|unable to create NEXT extent for cluster|Cannot create next extent for a cluster.|Add more space to the tablespace.
01555|snapshot too old|Undo information for a read is no longer available in the undo tablespace.|Increase undo retention period or use larger undo tablespace.
01562|UNDO tablespace cannot be read only|An attempt was made to make the UNDO tablespace read-only.|Keep UNDO tablespace in read-write mode.
01578|ORACLE data block corrupted|Data block corruption detected in the database.|Run DBVERIFY and restore from backup if necessary.
01650|unable to extend tablespace string|Insufficient space to extend the tablespace.|Add a new datafile or extend existing datafiles.
01658|unable to create INITIAL extent for segment|Insufficient space for initial segment extent.|Free up space or increase tablespace size.
01722|invalid number|A character string is not a valid number.|Check the data format and use TO_NUMBER with error handling.
01745|invalid base type for REF type|Invalid base type specified for REF type.|Use a valid object type for the REF.
01747|invalid user.table.column, table.column, or column specification|Invalid table or column name.|Verify the table and column names exist.
01748|only simple column names allowed here|Complex expressions are not allowed in this context.|Use simple column names only.
01752|cannot delete from view without key-preserved table|View deletion requires a key-preserved table.|Use an INSTEAD OF trigger or delete from base table.
01760|illegal argument for function|Invalid argument passed to a function.|Check the function documentation and provide valid arguments.
01776|cannot modify more than one base table through a view|View modification affects multiple base tables.|Use INSTEAD OF trigger or modify base tables directly.
01789|query block has incorrect number of result columns|UNION queries have different column counts.|Ensure all SELECT statements have the same number of columns.
01830|date format picture ends before converting entire input string|Date format does not match input string length.|Check and correct the date format string.
01839|date not valid for month specified|Invalid date for the specified month.|Verify the date is valid for the month.
02000|no rows selected|A SELECT statement returned no rows.|Check the query conditions or verify data exists.
02014|cannot select FOR UPDATE from view|FOR UPDATE cannot be used with multi-table views.|Remove FOR UPDATE or query the base table.
02290|check constraint violated|A CHECK constraint was violated.|Modify the data to satisfy the constraint.
02291|integrity constraint violated - parent key not found|FOREIGN KEY constraint violation - parent record missing.|Insert the parent record first before child records.
02292|integrity constraint violated - child record found|FOREIGN KEY constraint violation - child records exist.|Delete child records first before deleting parent.
02449|unique/primary keys in table referenced by foreign keys|Cannot drop table with foreign key references.|Drop dependent tables first or disable constraints.
04000|invalid ALTER TABLE option|Invalid option used in ALTER TABLE statement.|Check ALTER TABLE syntax and correct the option.
04031|cannot allocate SGA memory|SGA memory allocation failed.|Increase SGA_TARGET or reduce memory-consuming components.
04043|object does not exist|Referenced object does not exist.|Verify the object name and schema, create if missing.
04061|existing state of package has been discarded|Package was invalidated and needs recompilation.|Recompile the package.
06502|PL/SQL: numeric or value error|Conversion, truncation, or arithmetic error in PL/SQL.|Check variable types and values, use proper conversions.
06512|PL/SQL: cursor already open|An attempt was made to open an already-open cursor.|Close the cursor before reopening.
06550|PL/SQL: syntax error|Syntax error found in PL/SQL code.|Check PL/SQL syntax and correct the error.
12224|TNS:no listener|The TNS listener is not running or cannot be found.|Start the TNS listener.
12225|TNS:destination host unreachable|The destination host cannot be reached.|Check network connectivity and firewall settings.
12226|TNS:operating system resource quota exceeded|Operating system resource limit exceeded.|Increase OS resource limits.
12227|TNS:syntax error|Syntax error in connection string.|Check connection string syntax.
12228|TNS:protocol adapter not loadable|TNS protocol adapter cannot be loaded.|Reinstall Oracle client or check protocol configuration.
12514|TNS:listener could not resolve SERVICE_NAME given in connect descriptor|Listener does not know the specified service name.|Check listener configuration and register the service.
12545|Connect failed because target host or object does not exist|Cannot connect to specified host.|Verify hostname and network connectivity.
12704|character set mismatch|Client character set does not match database.|Set NLS_LANG environment variable to match database.
